cusno,last_purchase,first_purchase,frequency,monetary,margin,recency_days,cusnm,area,kind,R_score,F_score,M_score,RFM_sum,segment
CUS_00111,2024-04-08,2024-04-08,1,3000.0,1880.0,733.0,[已隱蔽],,一般,3,2,2,7,Others
CUS_00115,2024-10-28,2024-10-28,1,3500.0,1000.0,530.0,[已隱蔽],,一般,4,2,2,8,New 新客
CUS_00116,2024-05-22,2024-05-22,1,24300.0,12325.0,689.0,[已隱蔽],,一般,3,2,5,10,Others
CUS_00117,2021-04-15,2021-04-15,1,6000.0,3740.0,1822.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00118,2021-02-17,2021-02-17,1,3850.0,2590.0,1879.0,[已隱蔽],,一般,1,2,2,5,Lost 已流失
CUS_00120,2023-07-20,2021-11-26,2,7150.0,4080.0,996.0,[已隱蔽],,一般,3,4,3,10,Others
CUS_00121,2021-10-29,2020-12-09,2,17800.0,10657.0,1625.0,[已隱蔽],,一般,1,4,5,10,At Risk 流失中
CUS_00122,2024-05-17,2024-05-17,1,800.0,800.0,694.0,[已隱蔽],,一般,3,2,1,6,Others
CUS_00123,,,0,0.0,,,[已隱蔽],,,,,,,
CUS_00124,2023-08-18,2023-08-18,1,5749.0,2054.0,967.0,[已隱蔽],,一般,3,2,3,8,Others
CUS_00125,2021-04-17,2021-04-17,1,2300.0,1540.0,1820.0,[已隱蔽],,一般,1,2,1,4,Lost 已流失
CUS_00127,,,0,0.0,,,[已隱蔽],,,,,,,
CUS_00130,2022-07-30,2022-07-30,1,3500.0,500.0,1351.0,[已隱蔽],,一般,2,2,2,6,Lost 已流失
CUS_00131,2022-12-28,2022-01-05,3,4500.0,2950.0,1200.0,[已隱蔽],,一般,2,4,3,9,At Risk 流失中
CUS_00134,2021-06-22,2021-06-22,1,950.0,350.0,1754.0,[已隱蔽],,一般,1,2,1,4,Lost 已流失
CUS_00136,2020-11-21,2020-11-21,1,4800.0,3590.0,1967.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00137,2024-03-22,2021-05-13,4,5750.0,1890.0,750.0,[已隱蔽],,一般,3,4,3,10,Others
CUS_00138,2024-01-18,2023-05-29,2,4400.0,1965.0,814.0,[已隱蔽],,一般,3,4,3,10,Others
CUS_00139,2022-05-23,2022-05-23,1,4000.0,550.0,1419.0,[已隱蔽],,一般,2,2,2,6,Lost 已流失
CUS_00140,2022-12-27,2022-12-27,1,2600.0,1400.0,1201.0,[已隱蔽],,一般,2,2,2,6,Lost 已流失
CUS_00141,2021-12-20,2021-12-20,1,1780.0,740.0,1573.0,[已隱蔽],,一般,1,2,1,4,Lost 已流失
CUS_00142,2024-11-18,2024-11-18,1,3500.0,1000.0,509.0,[已隱蔽],,一般,4,2,2,8,New 新客
CUS_00143,2021-01-11,2021-01-11,1,2575.0,1675.0,1916.0,[已隱蔽],,一般,1,2,2,5,Lost 已流失
CUS_00144,2023-10-05,2023-10-05,1,3000.0,846.0,919.0,[已隱蔽],,一般,3,2,2,7,Others
CUS_00145,2020-12-09,2020-12-09,1,2600.0,1400.0,1949.0,[已隱蔽],,一般,1,2,2,5,Lost 已流失
CUS_00146,2024-10-09,2024-10-09,1,3000.0,2460.0,549.0,[已隱蔽],,一般,4,2,2,8,New 新客
CUS_00147,2023-05-20,2023-05-20,1,2000.0,1000.0,1057.0,[已隱蔽],,一般,2,2,1,5,Lost 已流失
