month,revenue,z_score,flag
2019-12,5400.0,-2.0086993841695744,低 (🔻)
2020-01,0.0,-2.1059926841620444,低 (🔻)
2020-02,0.0,-2.1059926841620444,低 (🔻)
2020-03,0.0,-2.1059926841620444,低 (🔻)
2020-04,0.0,-2.1059926841620444,低 (🔻)
2020-05,0.0,-2.1059926841620444,低 (🔻)
2020-06,0.0,-2.1059926841620444,低 (🔻)
2020-07,39000.0,-1.403318850883094,
2020-08,95299.0,-0.38896412935048796,
2020-09,44400.0,-1.306025550890624,
2020-10,81900.0,-0.6303776342762485,
2020-11,109160.0,-0.13922664209203844,
2020-12,184448.0,1.217258167136311,
2021-01,251225.0,2.420397925209862,高 (🔺)
2021-02,121574.0,0.08443984422398443,
2021-03,154049.0,0.6695509400120336,
2021-04,97320.0,-0.35255121096441727,
2021-05,92250.0,-0.4438988092906808,
2021-06,92690.0,-0.43597120706907216,
2021-07,106600.0,-0.1853508731995798,
2021-08,115690.0,-0.021573818212255184,
2021-09,131892.0,0.27034211632070776,
2021-10,159709.0,0.7715287322263633,
2021-11,88719.0,-0.5075178171190904,
2021-12,134930.0,0.3250786062053604,
2022-01,230800.0,2.0523950266272317,高 (🔺)
2022-02,92630.0,-0.43705224373565515,
2022-03,162790.0,0.8270399650554005,
2022-04,147175.0,0.5457001725771745,
2022-05,140259.0,0.4210926794757072,
2022-06,117920.0,0.01860471122907968,
2022-07,123730.0,0.12328509510986692,
2022-08,150040.0,0.5973196734065127,
2022-09,100950.0,-0.2871484926361457,
2022-10,81950.0,-0.6294767703874293,
2022-11,188190.0,1.2846788205755375,
2022-12,207450.0,1.6316915905486806,
2023-01,159415.0,0.7662316525601066,
2023-02,135200.0,0.3299432712049839,
2023-03,179110.0,1.1210819383659767,
2023-04,156910.0,0.7210983717302664,
2023-05,232240.0,2.078339906625224,高 (🔺)
2023-06,174050.0,1.029914512817477,
2023-07,120099.0,0.05786435950381899,
2023-08,170759.0,0.9706196516553993,
2023-09,173150.0,1.0136989628187318,
2023-10,134374.0,0.3150609997616913,
2023-11,126970.0,0.18166107510534896,
2023-12,137500.0,0.3713830100906656,
2024-01,152050.0,0.6335344017370432,
2024-02,128824.0,0.2150651081027637,
2024-03,148217.0,0.5644741760201659,
2024-04,167800.0,0.917306526715081,
2024-05,127026.0,0.18267004266082643,
2024-06,133740.0,0.3036380456514642,
2024-07,169270.0,0.9437919250463644,
2024-08,172750.0,1.0064920517081786,
2024-09,114390.0,-0.044996279321553534,
2024-10,99500.0,-0.31327354541190156,
2024-11,86600.0,-0.5456964287272467,
2024-12,121500.0,0.08310656566853206,
2025-01,161185.0,0.7981222342243052,
2025-02,84160.0,-0.5896585865016221,
2025-03,77949.0,-0.701563898770739,
2025-04,99250.0,-0.3177778648559974,
2025-05,80300.0,-0.6592052787184618,
2025-06,121050.0,0.07499879066915954,
2025-07,128175.0,0.20337189482589088,
2025-08,125069.0,0.14741023005244422,
2025-09,47699.0,-1.2465865515063352,
2025-10,66850.0,-0.9015376648108178,
2025-11,104999.0,-0.21419653491956953,
2025-12,153221.5,0.6546416426520764,
2026-01,70674.0,-0.8326395945939279,
2026-02,135207.0,0.33006939214941855,
2026-03,115538.0,-0.024312444434265452,
2026-04,57420.0,-1.0714405942421128,
