cusno,cusnm,revenue,margin,orders,margin_rate
CUS_00084,[已隱蔽],19509.0,10655.0,17,0.5461581834025322
CUS_00119,[已隱蔽],18099.0,10619.0,4,0.5867174982043207
CUS_00538,[已隱蔽],13450.0,10560.0,3,0.7851301115241636
CUS_00108,[已隱蔽],18500.0,10520.0,2,0.5686486486486486
CUS_00182,[已隱蔽],13750.0,10500.7,4,0.7636872727272728
CUS_00151,[已隱蔽],25300.0,10355.0,2,0.40928853754940714
CUS_00576,[已隱蔽],15450.0,10293.0,4,0.6662135922330097
CUS_00180,[已隱蔽],20500.0,10240.0,5,0.4995121951219512
CUS_00517,[已隱蔽],18000.0,10100.0,1,0.5611111111111111
CUS_00028,[已隱蔽],23800.0,10016.0,3,0.42084033613445376
CUS_00371,[已隱蔽],18000.0,10000.0,1,0.5555555555555556
CUS_00311,[已隱蔽],24500.0,10000.0,1,0.40816326530612246
CUS_00150,[已隱蔽],15600.0,9941.0,2,0.6372435897435897
CUS_00292,[已隱蔽],15700.0,9930.0,1,0.632484076433121
CUS_00554,[已隱蔽],21050.0,9890.0,9,0.469833729216152
CUS_00482,[已隱蔽],15850.0,9880.0,5,0.6233438485804417
CUS_00723,[已隱蔽],14650.0,9752.0,5,0.6656655290102389
CUS_00035,[已隱蔽],26700.0,9720.0,5,0.36404494382022473
CUS_00356,[已隱蔽],15000.0,9680.0,2,0.6453333333333333
CUS_00448,[已隱蔽],13460.0,9610.0,3,0.7139673105497771
CUS_00547,[已隱蔽],22900.0,9560.0,3,0.41746724890829695
CUS_00183,[已隱蔽],15700.0,9460.0,3,0.6025477707006369
CUS_00675,[已隱蔽],21300.0,9450.0,2,0.44366197183098594
CUS_00043,[已隱蔽],19000.0,9400.0,1,0.49473684210526314
CUS_00404,[已隱蔽],16000.0,9350.0,1,0.584375
CUS_00594,[已隱蔽],18550.0,9350.0,8,0.5040431266846361
CUS_00067,[已隱蔽],23000.0,9324.8,5,0.4054260869565217
CUS_00081,[已隱蔽],20000.0,9276.0,1,0.4638
CUS_00693,[已隱蔽],15850.0,9248.0,10,0.5834700315457413
CUS_00706,[已隱蔽],14450.0,9210.4,8,0.6373979238754325
CUS_00704,[已隱蔽],19470.0,8960.2,15,0.4602054442732409
CUS_00618,[已隱蔽],23200.0,8923.4,12,0.38462931034482756
CUS_00529,[已隱蔽],14000.0,8922.0,4,0.6372857142857142
CUS_00502,[已隱蔽],21000.0,8875.0,2,0.4226190476190476
CUS_00298,[已隱蔽],17800.0,8800.0,3,0.4943820224719101
CUS_00602,[已隱蔽],12450.0,8790.0,2,0.7060240963855422
CUS_00518,[已隱蔽],12800.0,8450.0,2,0.66015625
CUS_00451,[已隱蔽],14950.0,8410.0,2,0.5625418060200669
CUS_00413,[已隱蔽],15900.0,8400.0,2,0.5283018867924528
CUS_00664,[已隱蔽],13250.0,8360.0,3,0.630943396226415
CUS_00022,[已隱蔽],21100.0,8270.0,2,0.3919431279620853
CUS_00490,[已隱蔽],12300.0,8251.0,2,0.6708130081300813
CUS_00437,[已隱蔽],12300.0,8250.0,1,0.6707317073170732
CUS_00016,[已隱蔽],14650.0,8200.0,2,0.5597269624573379
CUS_00335,[已隱蔽],20300.0,8200.0,2,0.4039408866995074
CUS_00712,[已隱蔽],16000.0,8150.0,2,0.509375
CUS_00381,[已隱蔽],19500.0,8100.0,2,0.4153846153846154
CUS_00239,[已隱蔽],13300.0,8052.0,2,0.6054135338345865
CUS_00046,[已隱蔽],15500.0,7972.0,4,0.5143225806451613
CUS_00730,[已隱蔽],11700.0,7938.5,4,0.6785042735042736
CUS_00553,[已隱蔽],12000.0,7800.0,1,0.65
CUS_00306,[已隱蔽],13500.0,7800.0,2,0.5777777777777777
CUS_00309,[已隱蔽],13800.0,7760.0,4,0.5623188405797102
CUS_00671,[已隱蔽],19400.0,7760.0,1,0.4
CUS_00002,[已隱蔽],12700.0,7690.0,1,0.6055118110236221
CUS_00303,[已隱蔽],9900.0,7690.0,3,0.7767676767676768
CUS_00415,[已隱蔽],9600.0,7560.0,3,0.7875
CUS_00391,[已隱蔽],10900.0,7546.0,3,0.6922935779816514
CUS_00424,[已隱蔽],12250.0,7543.4,3,0.6157877551020408
CUS_00536,[已隱蔽],9600.0,7492.0,2,0.7804166666666666
CUS_00112,[已隱蔽],12376.0,7353.0,3,0.5941338073691015
CUS_00411,[已隱蔽],9900.0,7310.0,2,0.7383838383838384
CUS_00512,[已隱蔽],10950.0,7292.0,4,0.6659360730593608
CUS_00571,[已隱蔽],10700.0,7259.0,2,0.6784112149532711
CUS_00572,[已隱蔽],14250.0,7255.0,7,0.5091228070175439
CUS_00491,,10000.0,7231.8,2,0.72318
CUS_00064,[已隱蔽],14200.0,7230.0,2,0.5091549295774648
CUS_00367,[已隱蔽],9880.0,7180.0,7,0.7267206477732794
CUS_00514,[已隱蔽],12650.0,7175.0,3,0.567193675889328
CUS_00042,[已隱蔽],12100.0,7060.0,2,0.5834710743801653
CUS_00530,[已隱蔽],12700.0,7050.0,4,0.5551181102362205
CUS_00344,[已隱蔽],17000.0,7000.0,1,0.4117647058823529
CUS_00215,[已隱蔽],16500.0,7000.0,1,0.42424242424242425
CUS_00624,[已隱蔽],17500.0,6900.0,3,0.3942857142857143
CUS_00395,[已隱蔽],9000.0,6847.7,1,0.7608555555555555
CUS_00521,[已隱蔽],18100.0,6820.0,1,0.37679558011049724
CUS_00317,[已隱蔽],11750.0,6780.0,1,0.5770212765957446
CUS_00211,[已隱蔽],11700.0,6759.0,2,0.5776923076923077
CUS_00097,[已隱蔽],10200.0,6700.0,3,0.6568627450980392
CUS_00672,[已隱蔽],10500.0,6700.0,1,0.638095238095238
CUS_00260,[已隱蔽],11900.0,6650.0,3,0.5588235294117647
CUS_00416,[已隱蔽],10800.0,6636.4,2,0.6144814814814814
CUS_00537,[已隱蔽],10100.0,6632.0,1,0.6566336633663367
CUS_00331,[已隱蔽],10900.0,6614.0,4,0.606788990825688
CUS_00355,[已隱蔽],16350.0,6550.0,5,0.40061162079510704
CUS_00592,[已隱蔽],10800.0,6440.0,2,0.5962962962962963
CUS_00322,[已隱蔽],9000.0,6350.0,3,0.7055555555555556
