prdno,prdnm,revenue,cost,margin,qty,margin_rate
WISH701QUW,WISH(701)皮椅套                                                ,600.0,3450.0,-2850.0,1.0,-4.75
ACC2XV,ACC電力線                                                      ,1600.0,1900.0,-300.0,2.0,-0.1875
2010ALTISHXFV,[車牌]IS測漏+清洗                                              ,2000.0,2199.0,-199.0,1.0,-0.0995
2UFY4.8A,點煙座 4.8A 12V                                                ,150.0,290.0,-140.0,1.0,-0.9333333333333333
VWDVV1,小太空香薰杯                                                      ,0.0,80.0,-80.0,1.0,
BGD-,瑞獅考耳                                                        ,1500.0,1550.0,-50.0,2.0,-0.03333333333333333
HRVTUV,HRV機油芯                                                      ,0.0,50.0,-50.0,1.0,
E00692,騰原豆腐店(自家用)/黑紅白                                              ,0.0,15.0,-15.0,1.0,
