cusno,billed,last_sale,orders,received,last_recv,outstanding,days_since_last_sale,cusnm,area,settle
CUS_00692,10650.0,2020-11-14,1,0.0,,10650.0,1974,[已隱蔽],,31.0
CUS_00055,10500.0,2021-02-18,1,0.0,,10500.0,1878,[已隱蔽],,31.0
CUS_00722,10300.0,2022-12-28,3,0.0,,10300.0,1200,[已隱蔽],,31.0
CUS_00214,10299.0,2023-07-04,2,0.0,,10299.0,1012,[已隱蔽],,31.0
CUS_00498,10190.0,2022-12-06,4,0.0,,10190.0,1222,[已隱蔽],,31.0
CUS_00531,10150.0,2023-10-27,3,0.0,,10150.0,897,[已隱蔽],,31.0
CUS_00193,10140.0,2022-11-26,1,0.0,,10140.0,1232,[已隱蔽],,31.0
CUS_00537,10100.0,2024-09-24,1,0.0,,10100.0,564,[已隱蔽],,31.0
CUS_00670,10000.0,2021-04-15,1,0.0,,10000.0,1822,[已隱蔽],,31.0
CUS_00491,10000.0,2023-06-07,2,0.0,,10000.0,1039,,,
CUS_00357,10000.0,2024-01-23,1,0.0,,10000.0,809,[已隱蔽],,31.0
CUS_00240,10000.0,2024-08-27,1,0.0,,10000.0,592,[已隱蔽],,31.0
CUS_00367,9880.0,2024-12-13,7,0.0,,9880.0,484,[已隱蔽],,31.0
CUS_00094,9770.0,2024-07-31,3,0.0,,9770.0,619,[已隱蔽],,31.0
CUS_00536,9600.0,2025-02-24,2,0.0,,9600.0,411,[已隱蔽],,31.0
CUS_00528,9150.0,2023-07-07,1,0.0,,9150.0,1009,[已隱蔽],,31.0
CUS_00453,9150.0,2021-05-24,1,0.0,,9150.0,1783,[已隱蔽],,31.0
CUS_00173,9100.0,2023-05-19,2,0.0,,9100.0,1058,[已隱蔽],,31.0
CUS_00395,9000.0,2024-09-09,1,0.0,,9000.0,579,[已隱蔽],,31.0
CUS_00322,9000.0,2025-01-04,3,0.0,,9000.0,462,[已隱蔽],,31.0
CUS_00184,8800.0,2024-11-13,2,0.0,,8800.0,514,[已隱蔽],,31.0
CUS_00606,8800.0,2021-10-23,2,0.0,,8800.0,1631,[已隱蔽],,31.0
CUS_00631,8800.0,2024-10-01,2,0.0,,8800.0,557,[已隱蔽],,31.0
