sbkno,prdno,prqty,price,unit,pcost,st,note1,indexs,prdnm
109[車牌][電話],2TXWSDXU            ,1.0,750.0,組   ,380.0,是 ,,1.0,倒車雷達內崁兩眼-禾麟                                                 
110[車牌][電話],2TXWMTNU            ,1.0,1500.0,組   ,1050.0,是 ,,1.0,原廠型倒車雷達16.5mm(四眼)                                           
