sbkno,sbdate,stockno,cusno,busno,setday,tot,apcost,note1,anote,toacc,reno,reindex
109[車牌][電話],2020-12-30 00:00:00,GF ,CUS_00682,1,202101,750.0,380.0,,,,,
110[車牌][電話],2021-11-26 00:00:00,GF ,CUS_00682,1,202111,1500.0,1050.0,,,,,
