wno,wdate,odate,wfacno,sltax,invnoam,tax_a,slamt2_a,slamt3_a,facno,setday,mark,stockno,note1,toacc
RG4[電話]      ,2021-09-08 00:00:00,2021-09-08 00:00:00,CMFUG     ,外加  ,4280.0,0.05,214.0,4494.0,FAC_00019,202109.0,            ,GF ,,
RG[電話]      ,2021-10-15 00:00:00,2021-10-15 00:00:00,JG        ,外加  ,7333.0,0.05,367.0,7700.0,FAC_00036,202110.0,            ,GF ,,
[車牌]7653      ,2021-10-21 00:00:00,2021-10-21 00:00:00,ZF        ,外加  ,19430.0,0.05,972.0,20402.0,FAC_00066,202110.0,            ,GF ,,
TB[電話]      ,2021-11-15 00:00:00,2021-11-15 00:00:00,JG        ,外加  ,5143.0,0.05,257.0,5400.0,FAC_00036,202111.0,            ,GF ,,
[車牌]2417      ,2021-11-20 00:00:00,2021-11-20 00:00:00,ZF        ,外加  ,22615.0,0.05,1131.0,23746.0,FAC_00066,202111.0,            ,GF ,,
RG4[電話]      ,2021-10-30 00:00:00,2021-10-30 00:00:00,CMFUG     ,外加  ,2200.0,0.05,110.0,2310.0,FAC_00019,202111.0,            ,GF ,,
[車牌]4036      ,2021-11-26 00:00:00,2021-11-26 00:00:00,2UFT1C    ,外加  ,1952.0,0.05,98.0,2050.0,FAC_00010,202112.0,            ,GF ,,
[車牌]8262      ,2021-11-11 00:00:00,2021-11-11 00:00:00,DDFTRQ    ,外加  ,4650.0,0.05,233.0,4883.0,FAC_00027,202111.0,            ,GF ,,
[車牌]1510      ,2021-11-15 00:00:00,2021-11-15 00:00:00,X2T       ,外加  ,4225.0,0.05,211.0,4436.0,FAC_00060,202111.0,            ,GF ,,
TB4[電話]      ,2021-11-26 00:00:00,2021-11-26 00:00:00,CMFUG     ,外加  ,2300.0,0.05,115.0,2415.0,FAC_00019,202111.0,            ,GF ,,
TB[電話]      ,2021-12-15 00:00:00,2021-12-15 00:00:00,JG        ,外加  ,0.0,0.05,0.0,0.0,FAC_00036,202112.0,            ,GF ,,
[車牌]2468      ,2021-12-20 00:00:00,2021-12-20 00:00:00,ZF        ,外加  ,16828.0,0.05,841.0,17669.0,FAC_00066,202112.0,            ,GF ,,
TB[電話]      ,2021-12-24 00:00:00,2021-12-24 00:00:00,XUDRUVEN  ,外加  ,703.0,0.05,35.0,738.0,FAC_00063,202112.0,            ,GF ,,
[車牌]4386      ,2021-12-30 00:00:00,2021-12-30 00:00:00,CRAU      ,外加  ,2250.0,0.05,113.0,2363.0,FAC_00021,202112.0,            ,GF ,,
[車牌]1530      ,2021-12-20 00:00:00,2021-12-20 00:00:00,X2T       ,外加  ,3356.0,0.05,168.0,3524.0,FAC_00060,202112.0,            ,GF ,,
[車牌]4860      ,2021-12-30 00:00:00,2021-12-30 00:00:00,2UFT1C    ,外加  ,3142.0,0.05,157.0,3299.0,FAC_00010,202201.0,            ,GF ,,
[車牌]4861      ,2021-12-30 00:00:00,2021-12-30 00:00:00,2UFT1C    ,外加  ,3571.0,0.05,179.0,3750.0,FAC_00010,202201.0,            ,GF ,,
TB4[電話]      ,2021-12-27 00:00:00,2021-12-27 00:00:00,CMFUG     ,外加  ,10150.0,0.05,508.0,10658.0,FAC_00019,202201.0,            ,GF ,,
VK[電話]      ,2022-01-11 00:00:00,2022-01-11 00:00:00,XUDRUVEN  ,外加  ,1066.0,0.05,53.0,1119.0,FAC_00063,202201.0,            ,GF ,,
VK[電話]      ,2022-01-15 00:00:00,2022-01-15 00:00:00,JG        ,外加  ,5429.0,0.05,271.0,5700.0,FAC_00036,202201.0,            ,GF ,,
[車牌]8111      ,2022-01-20 00:00:00,2022-01-20 00:00:00,ZF        ,外加  ,11345.0,0.05,567.0,11912.0,FAC_00066,202201.0,            ,GF ,,
