wno,wdate,odate,wfacno,sltax,invnoam,tax_a,slamt2_a,slamt3_a,facno,setday,mark,stockno,note1,toacc
[車牌]4624      ,2024-01-22 00:00:00,2024-01-22 00:00:00,ZF        ,外加  ,4600.0,0.05,230.0,4830.0,FAC_00066,202401.0,            ,GF ,,
[車牌]5768      ,2024-01-26 00:00:00,2023-11-26 00:00:00,2UFT1C    ,外加  ,7591.0,0.05,380.0,7971.0,FAC_00010,202402.0,            ,GF ,,
VY[電話]      ,2024-02-05 00:00:00,2024-02-05 00:00:00,JG        ,外加  ,19227.0,0.05,961.0,20188.0,FAC_00036,202402.0,            ,GF ,,
[車牌]4773      ,2024-02-22 00:00:00,2024-02-22 00:00:00,ZF        ,外加  ,23800.0,0.05,1190.0,24990.0,FAC_00066,202402.0,            ,GF ,,
[車牌]6056      ,2024-02-02 00:00:00,2024-02-02 00:00:00,2MFT1C    ,外加  ,11429.0,0.05,571.0,12000.0,FAC_00004,202402.0,            ,GF ,,
XX[電話]      ,2024-03-12 00:00:00,2024-03-12 00:00:00,XUDRUVEN  ,外加  ,1750.0,0.05,88.0,1838.0,FAC_00063,202403.0,進貨開出發票      ,GF ,,
[車牌]2885      ,2024-03-27 00:00:00,2024-03-28 00:00:00,MFFT1C    ,外加  ,4240.0,0.05,212.0,4452.0,FAC_00040,202404.0,進貨開出發票      ,GF ,,
[車牌]1698      ,2024-02-27 00:00:00,2024-03-28 00:00:00,2UFT1C    ,外加  ,450.0,0.05,23.0,473.0,FAC_00010,202403.0,進貨開出發票      ,GF ,,
XX4[電話]      ,2024-03-11 00:00:00,2024-04-11 00:00:00,CMFUG     ,外加  ,1840.0,0.05,92.0,1932.0,FAC_00019,202403.0,            ,GF ,,
[車牌]8838      ,2024-04-09 00:00:00,2024-04-09 00:00:00,ZF        ,外加  ,16380.0,0.05,819.0,17199.0,FAC_00066,202404.0,            ,GF ,,
XX1[電話]      ,2024-04-15 00:00:00,2024-04-15 00:00:00,JG        ,外加  ,8167.0,0.05,408.0,8575.0,FAC_00036,202404.0,            ,GF ,,
[車牌]8908      ,2024-04-22 00:00:00,2024-04-22 00:00:00,ZF        ,外加  ,4145.0,0.05,207.0,4352.0,FAC_00066,202404.0,            ,GF ,,
[車牌]2480      ,2024-04-26 00:00:00,2024-04-26 00:00:00,2UFT1C    ,外加  ,229.0,0.05,11.0,240.0,FAC_00010,202405.0,            ,GF ,,
[車牌]2481      ,2024-04-26 00:00:00,2024-04-26 00:00:00,2UFT1C    ,外加  ,4000.0,0.05,200.0,4200.0,FAC_00010,202405.0,            ,GF ,,
ZW1[電話]      ,2024-05-15 00:00:00,2024-05-15 00:00:00,JG        ,外加  ,4571.0,0.05,229.0,4800.0,FAC_00036,202405.0,            ,GF ,,
XX4[電話]      ,2024-05-19 00:00:00,2024-05-19 00:00:00,CMFUG     ,外加  ,3490.0,0.05,175.0,3665.0,FAC_00019,202405.0,            ,GF ,,
[車牌]4569      ,2024-05-21 00:00:00,2024-05-21 00:00:00,ZF        ,外加  ,8460.0,0.05,423.0,8883.0,FAC_00066,202405.0,            ,GF ,,
[車牌]8506      ,2024-06-30 00:00:00,2024-06-30 00:00:00,2UFT1C    ,外加  ,2000.0,0.05,100.0,2100.0,FAC_00010,202407.0,            ,GF ,,
ZW4[電話]      ,2024-05-31 00:00:00,2024-05-31 00:00:00,CMFUG     ,外加  ,400.0,0.05,20.0,420.0,FAC_00019,202405.0,            ,GF ,,
ZW1[電話]      ,2024-06-15 00:00:00,2024-06-15 00:00:00,JG        ,外加  ,1429.0,0.05,71.0,1500.0,FAC_00036,202406.0,            ,GF ,,
[車牌]4674      ,2024-06-24 00:00:00,2024-06-24 00:00:00,ZF        ,外加  ,12360.0,0.05,618.0,12978.0,FAC_00066,202406.0,            ,GF ,,
[車牌]9262      ,2024-06-27 00:00:00,2024-06-27 00:00:00,2UFT1C    ,外加  ,5152.0,0.05,258.0,5410.0,FAC_00010,202407.0,            ,GF ,,
[車牌]4286      ,2024-06-20 00:00:00,2024-06-20 00:00:00,X2T       ,外加  ,4210.0,0.05,211.0,4421.0,FAC_00060,202406.0,            ,GF ,,
ZW4[電話]      ,2024-06-29 00:00:00,2024-06-29 00:00:00,CMFUG     ,外加  ,5380.0,0.05,269.0,5649.0,FAC_00019,202406.0,            ,GF ,,
BW[電話]      ,2024-07-15 00:00:00,2024-07-15 00:00:00,JG        ,外加  ,8073.0,0.05,404.0,8477.0,FAC_00036,202407.0,            ,GF ,,
[車牌]5815      ,2024-07-22 00:00:00,2024-07-22 00:00:00,ZF        ,外加  ,3820.0,0.05,191.0,4011.0,FAC_00066,202407.0,            ,GF ,,
BW4[電話]      ,2024-07-29 00:00:00,2024-07-29 00:00:00,CMFUG     ,外加  ,4560.0,0.05,228.0,4788.0,FAC_00019,202407.0,            ,GF ,,
[車牌]3771      ,2024-08-05 00:00:00,2024-08-06 00:00:00,MFFT1C    ,外加  ,2930.0,0.05,147.0,3077.0,FAC_00040,202408.0,進貨開出發票      ,GF ,,
BW[電話]      ,2024-08-15 00:00:00,2024-08-15 00:00:00,JG        ,外加  ,6209.0,0.05,310.0,6519.0,FAC_00036,202408.0,            ,GF ,,
[車牌]5925      ,2024-08-21 00:00:00,2024-08-21 00:00:00,ZF        ,外加  ,19380.0,0.05,969.0,20349.0,FAC_00066,202408.0,            ,GF ,,
BW4[電話]      ,2024-08-26 00:00:00,2024-08-26 00:00:00,CMFUG     ,外加  ,1720.0,0.05,86.0,1806.0,FAC_00019,202408.0,            ,GF ,,
DV[電話]      ,2024-09-19 00:00:00,2024-09-19 00:00:00,JG        ,外加  ,5787.0,0.05,289.0,6076.0,FAC_00036,202410.0,            ,GF ,,
[車牌]0911      ,2024-09-28 00:00:00,2024-09-28 00:00:00,2UFT1C    ,外加  ,2343.0,0.05,117.0,2460.0,FAC_00010,202410.0,            ,GF ,,
DC4[電話]      ,2024-09-13 00:00:00,2024-10-04 00:00:00,CMFUG     ,外加  ,500.0,0.05,25.0,525.0,FAC_00019,202409.0,進貨開出發票      ,GF ,,
[車牌]4509      ,2024-10-09 00:00:00,2024-10-09 00:00:00,MFFT1C    ,外加  ,2050.0,0.05,103.0,2153.0,FAC_00040,202410.0,進貨開出發票      ,GF ,,
[車牌]4434      ,2024-10-11 00:00:00,2024-10-11 00:00:00,ZF        ,外加  ,9410.0,0.05,471.0,9881.0,FAC_00066,202410.0,            ,GF ,,
DV[電話]      ,2024-10-15 00:00:00,2024-10-15 00:00:00,JG        ,外加  ,7000.0,0.05,350.0,7350.0,FAC_00036,202410.0,            ,GF ,,
[車牌]3957      ,2024-10-29 00:00:00,2024-10-29 00:00:00,2MFT1C    ,外加  ,11429.0,0.05,571.0,12000.0,FAC_00004,202411.0,            ,GF ,,
[車牌]2174      ,2024-10-28 00:00:00,2024-10-28 00:00:00,2UFT1C    ,外加  ,,0.05,0.0,,FAC_00010,202411.0,            ,GF ,,
[車牌]2173      ,2024-10-28 00:00:00,2024-10-28 00:00:00,2UFT1C    ,外加  ,4800.0,0.05,240.0,5040.0,FAC_00010,202411.0,            ,GF ,,
[車牌]4524      ,2024-10-24 00:00:00,2024-11-24 00:00:00,ZF        ,外加  ,1600.0,0.05,80.0,1680.0,FAC_00066,202410.0,            ,GF ,,
[車牌]3501      ,2024-11-24 00:00:00,2024-11-24 00:00:00,ZF        ,外加  ,1625.0,0.05,81.0,1706.0,FAC_00066,202411.0,            ,GF ,,
[車牌]8967      ,2024-11-27 00:00:00,2024-11-27 00:00:00,CMFUG     ,外加  ,1830.0,0.05,92.0,1922.0,FAC_00019,202411.0,            ,GF ,,
FU1[電話]      ,2024-12-14 00:00:00,2024-12-14 00:00:00,JG        ,外加  ,6813.0,0.05,341.0,7154.0,FAC_00036,202412.0,            ,GF ,,
[車牌]8924      ,2025-01-04 00:00:00,2025-01-04 00:00:00,CMFUG     ,外加  ,5600.0,0.05,280.0,5880.0,FAC_00019,202501.0,            ,GF ,,
[車牌]619       ,2024-12-24 00:00:00,2024-12-24 00:00:00,ZF        ,外加  ,14580.0,0.05,729.0,15309.0,FAC_00066,202412.0,            ,GF ,,
HT1[電話]      ,2025-01-15 00:00:00,2025-01-15 00:00:00,JG        ,外加  ,8587.0,0.05,429.0,9016.0,FAC_00036,202501.0,            ,GF ,,
[車牌]9914      ,2025-01-24 00:00:00,2025-01-24 00:00:00,2UFT1C    ,外加  ,0.0,0.05,0.0,0.0,FAC_00010,202501.0,            ,GF ,,
[車牌]9913      ,2025-01-24 00:00:00,2025-01-24 00:00:00,2UFT1C    ,外加  ,3619.0,0.05,181.0,3800.0,FAC_00010,202501.0,            ,GF ,,
[車牌]2418      ,2025-01-21 00:00:00,2025-01-21 00:00:00,CMFUG     ,外加  ,3050.0,0.05,153.0,3203.0,FAC_00019,202501.0,            ,GF ,,
[車牌]4724      ,2025-02-14 00:00:00,2025-02-14 00:00:00,ZF        ,外加  ,8490.0,0.05,425.0,8915.0,FAC_00066,202502.0,            ,GF ,,
HT1[電話]      ,2025-02-15 00:00:00,2025-02-15 00:00:00,JG        ,外加  ,5787.0,0.05,289.0,6076.0,FAC_00036,202502.0,            ,GF ,,
[車牌]0750      ,2025-03-05 00:00:00,2025-03-06 00:00:00,X2T       ,外加  ,5829.0,0.05,291.0,6120.0,FAC_00060,202503.0,進貨開出發票      ,GF ,,
[車牌]2463      ,2025-02-19 00:00:00,2025-02-19 00:00:00,CMFUG     ,外加  ,5842.0,0.05,292.0,6134.0,FAC_00019,202502.0,            ,GF ,,
[車牌]4174      ,2025-03-25 00:00:00,2025-03-25 00:00:00,2UFT1C    ,外加  ,5457.0,0.05,273.0,5730.0,FAC_00010,202503.0,            ,GF ,,
KT[電話]      ,2025-04-08 00:00:00,2025-04-08 00:00:00,CMFUG     ,外加  ,5315.0,0.05,266.0,5581.0,FAC_00019,202504.0,            ,GF ,,
[車牌]8069      ,2025-04-11 00:00:00,2025-04-11 00:00:00,ZF        ,外加  ,10725.0,0.05,536.0,11261.0,FAC_00066,202504.0,            ,GF ,,
KT[電話]      ,2025-04-11 00:00:00,2025-04-11 00:00:00,XUDRUVEN  ,外加  ,1580.0,0.05,79.0,1659.0,FAC_00063,202504.0,            ,GF ,,
KT1[電話]      ,2025-04-16 00:00:00,2025-04-16 00:00:00,JG        ,外加  ,619.0,0.05,31.0,650.0,FAC_00036,202504.0,            ,GF ,,
[車牌]5151      ,2025-05-02 00:00:00,2025-05-02 00:00:00,DDFTRQ    ,外加  ,4429.0,0.05,221.0,4650.0,FAC_00027,202505.0,            ,GF ,,
[車牌]5151      ,2025-04-01 00:00:00,2025-04-01 00:00:00,DDFTRQ    ,外加  ,4429.0,0.05,221.0,4650.0,FAC_00027,202504.0,            ,GF ,,
KT[電話]      ,2025-05-14 00:00:00,2025-04-28 00:00:00,CMFUG     ,外加  ,1980.0,0.05,99.0,2079.0,FAC_00019,202505.0,            ,GF ,,
[車牌]753       ,2025-04-28 00:00:00,2025-04-28 00:00:00,CMFUG     ,外加  ,0.0,0.05,0.0,0.0,FAC_00019,202504.0,            ,GF ,,
MT1[電話]      ,2025-05-15 00:00:00,2025-05-15 00:00:00,JG        ,外加  ,10201.0,0.05,510.0,10711.0,FAC_00036,202505.0,            ,GF ,,
[車牌]4883      ,2025-05-24 00:00:00,2025-05-24 00:00:00,ZF        ,外加  ,14355.0,0.05,718.0,15073.0,FAC_00066,202505.0,            ,GF ,,
MT[電話]      ,2025-05-23 00:00:00,2025-05-23 00:00:00,CMFUG     ,外加  ,0.0,0.05,0.0,0.0,FAC_00019,202505.0,            ,GF ,,
[車牌]5050      ,2025-06-24 00:00:00,2025-06-24 00:00:00,ZF        ,外加  ,0.0,0.05,0.0,0.0,FAC_00066,202506.0,            ,GF ,,
PT1[電話]      ,2025-07-15 00:00:00,2025-07-15 00:00:00,JG        ,外加  ,6020.0,0.05,301.0,6321.0,FAC_00036,202507.0,            ,GF ,,
[車牌]9220      ,2025-07-24 00:00:00,2025-07-24 00:00:00,ZF        ,外加  ,12825.0,0.05,641.0,13466.0,FAC_00066,202507.0,            ,GF ,,
[車牌]3754      ,2025-08-01 00:00:00,2025-08-02 00:00:00,MFFT1C    ,外加  ,3080.0,0.05,154.0,3234.0,FAC_00040,202508.0,進貨開出發票      ,GF ,,
[車牌]3277      ,2025-08-06 00:00:00,2025-08-06 00:00:00,X2T       ,外加  ,2323.0,0.05,116.0,2439.0,FAC_00060,202508.0,進貨開出發票      ,GF ,,
PT[電話]      ,2025-07-29 00:00:00,2025-07-29 00:00:00,CMFUG     ,外加  ,3940.0,0.05,197.0,4137.0,FAC_00019,202507.0,            ,GF ,,
PT1[電話]      ,2025-08-15 00:00:00,2025-08-15 00:00:00,JG        ,外加  ,5413.0,0.05,271.0,5684.0,FAC_00036,202508.0,            ,GF ,,
[車牌]9417      ,2025-08-24 00:00:00,2025-08-24 00:00:00,ZF        ,外加  ,8215.0,0.05,411.0,8626.0,FAC_00066,202508.0,            ,GF ,,
RT1[電話]      ,2025-09-15 00:00:00,2025-09-15 00:00:00,JG        ,外加  ,9427.0,0.05,471.0,9898.0,FAC_00036,202509.0,            ,GF ,,
PT[電話]      ,2025-08-13 00:00:00,2025-08-13 00:00:00,CMFUG     ,外加  ,3500.0,0.05,175.0,3675.0,FAC_00019,202508.0,            ,GF ,,
[車牌]2540      ,2025-09-24 00:00:00,2025-09-24 00:00:00,ZF        ,外加  ,0.0,0.05,0.0,0.0,FAC_00066,202509.0,            ,GF ,,
[車牌]8152      ,2025-08-26 00:00:00,2025-10-04 00:00:00,2MFT1C    ,內含  ,11429.0,0.05,571.0,12000.0,FAC_00004,202509.0,進貨開出發票      ,GF ,,
RT[電話]      ,2025-09-04 00:00:00,2025-10-08 00:00:00,CMFUG     ,外加  ,1000.0,0.05,50.0,1050.0,FAC_00019,202509.0,進貨開出發票      ,GF ,,
RT1[電話]      ,2025-09-26 00:00:00,2025-10-15 00:00:00,JG        ,內含  ,3524.0,0.05,176.0,3700.0,FAC_00036,202510.0,進貨開出發票      ,GF ,,
TG[電話]      ,2025-10-30 00:00:00,2025-10-30 00:00:00,CRAU      ,外加  ,2610.0,0.05,131.0,2741.0,FAC_00021,202510.0,進貨開出發票      ,GF ,,
TT1[電話]      ,2025-11-17 00:00:00,2025-11-17 00:00:00,JG        ,外加  ,5880.0,0.05,294.0,6174.0,FAC_00036,202512.0,            ,GF ,,
[車牌]0668      ,2025-11-21 00:00:00,2025-11-21 00:00:00,ZF        ,外加  ,9915.0,0.05,496.0,10411.0,FAC_00066,202511.0,            ,GF ,,
RT[電話]      ,2025-10-31 00:00:00,2025-10-31 00:00:00,CMFUG     ,外加  ,2720.0,0.05,136.0,2856.0,FAC_00019,202510.0,            ,GF ,,
[車牌]4251      ,2025-11-28 00:00:00,2025-11-28 00:00:00,MFFT1C    ,外加  ,3180.0,0.05,159.0,3339.0,FAC_00040,202512.0,進貨開出發票      ,GF ,,
[車牌]3669      ,2025-11-25 00:00:00,2025-12-03 00:00:00,DDFTRQ    ,外加  ,4429.0,0.05,221.0,4650.0,FAC_00027,202511.0,進貨開出發票      ,GF ,,
TT1[電話]      ,2025-12-15 00:00:00,2025-12-15 00:00:00,JG        ,外加  ,1524.0,0.05,76.0,1600.0,FAC_00036,202512.0,            ,GF ,,
[車牌]0909      ,2025-12-31 00:00:00,2025-12-31 00:00:00,2UFT1C    ,外加  ,2285.0,0.05,114.0,2399.0,FAC_00010,202601.0,            ,GF ,,
[車牌]0910      ,2025-12-31 00:00:00,2025-12-31 00:00:00,2UFT1C    ,外加  ,571.0,0.05,29.0,600.0,FAC_00010,202601.0,            ,GF ,,
TT[電話]      ,2025-12-29 00:00:00,2025-12-29 00:00:00,CMFUG     ,外加  ,4970.0,0.05,249.0,5219.0,FAC_00019,202512.0,            ,GF ,,
[車牌]0797      ,2025-12-24 00:00:00,2025-12-24 00:00:00,ZF        ,外加  ,0.0,0.05,0.0,0.0,FAC_00066,202512.0,            ,GF ,,
VT[電話]      ,2026-01-15 00:00:00,2026-01-15 00:00:00,JG        ,外加  ,0.0,0.05,0.0,0.0,FAC_00036,202601.0,            ,GF ,,
[車牌]9805      ,2026-01-24 00:00:00,2026-01-24 00:00:00,ZF        ,外加  ,4400.0,0.05,220.0,4620.0,FAC_00066,202601.0,            ,GF ,,
VY[電話]      ,2026-01-31 00:00:00,2026-01-31 00:00:00,CMFUG     ,外加  ,3000.0,0.05,150.0,3150.0,FAC_00019,202601.0,            ,GF ,,
[車牌]9944      ,2026-03-09 00:00:00,2026-03-09 00:00:00,ZF        ,外加  ,4670.0,0.05,234.0,4904.0,FAC_00066,202603.0,            ,GF ,,
XV[電話]      ,2026-03-16 00:00:00,2026-03-16 00:00:00,JG        ,外加  ,3048.0,0.05,152.0,3200.0,FAC_00036,202603.0,            ,GF ,,
[車牌]666       ,2026-03-24 00:00:00,2026-03-24 00:00:00,ZF        ,外加  ,5130.0,0.05,257.0,5387.0,FAC_00066,202603.0,            ,GF ,,
[車牌]1280      ,2026-04-02 00:00:00,2026-04-02 00:00:00,X2T       ,外加  ,7156.0,0.05,358.0,7514.0,FAC_00060,202604.0,進貨開出發票      ,GF ,,
XV[電話]      ,2026-03-10 00:00:00,2026-03-10 00:00:00,CMFUG     ,外加  ,1100.0,0.05,55.0,1155.0,FAC_00019,202603.0,            ,GF ,,
